rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
54,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][03][1080p][WEB][MP4][2019.10][国产],https://bt.byr.cn/download.php?id=291930,[BYRBT].Scissor.Seven.2019.E03.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,0,16天0时,383.84MB,89,0,340,kfbyhyq
55,"[合集][CCTV][百山百川行][Bai Shan Bai Chuan Xing][全272集][480p][TV][MKV][jlp][自然,文化,旅行]",https://bt.byr.cn/download.php?id=291905,[BYRBT].远方的家-百山百川行.torrent,3,0,16天7时,89.75GB,63,6,257,发布者匿名
56,"[解放军在巴黎][Chinese.In.Paris.1974.720p.Bluray.FLAC2.0.x264-PTer][剧情,喜剧][法国]",https://bt.byr.cn/download.php?id=291891,[BYRBT].Chinese.In.Paris.1974.720p.Bluray.FLAC2.0.x264-PTer.mkv.torrent,3,23,16天19时,11.94GB,247,0,790,stefanieren1
57,"[连载][BBC][七个世界，一个星球][Seven Worlds, One Planet][S01E01][1080p][WEB-DL][MKV][NTb][自然]",https://bt.byr.cn/download.php?id=291873,[BYRBT].Seven.Worlds.One.Planet.S01E01.Antarctica.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,1,5,17天2时,3.89GB,441,3,1423,stefanieren1
58,[大陆][光荣时代][The.Glorious.Era.2019.E31-E40.WEB-DL.1080p.H265.AAC-DanNi][E31-E40][MP4],https://bt.byr.cn/download.php?id=291849,[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,2,0,17天13时,14.36GB,55,2,257,发布者匿名
59,[欧美][硅谷][Silicon.Valley.S06E01.Artificial.Lack.of.Intelligence.1080p.AMZN.WEB-DL.DDP5.1.H.264..,https://bt.byr.cn/download.php?id=291831,[BYRBT].Silicon.Valley.S06E01.Artificial.Lack.of.Intelligence.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.mkv.torrent,1,4,17天21时,2.06GB,112,0,458,KLibran
60,[合集][历史频道][宇宙][The Universe][S03][1080p][Blu-ray][M2TS][白自在][科学],https://bt.byr.cn/download.php?id=291786,[BYRBT].宇宙系列第3季.torrent,3,3,18天7时,109.45GB,54,2,244,发布者匿名
61,[大陆][陈情令][The.Untamed.2019.Netflix.WEB-DL.1080p.x264.DDP-HDCTV][全50集][MKV],https://bt.byr.cn/download.php?id=291762,[BYRBT].The.Untamed.2019.Netflix.WEB-DL.1080p.x264.DDP-HDCTV.torrent,1,0,18天20时,100.05GB,60,4,210,发布者匿名
62,[连载][OPFansMaplesnow][海贼王][One.Piece][908][720p][TVRip][MP4],https://bt.byr.cn/download.php?id=291730,[BYRBT].[OPFansMaplesnow][One_Piece][908][MP4].mp4.torrent,2,0,19天2时,245.16MB,72,0,422,发布者匿名
63,"[愤怒的小鸟大电影2][The.Angry.Birds.Movie.2.2019.720p.BluRay.x264-GECKOS][动画,冒险,喜剧][北美]",https://bt.byr.cn/download.php?id=291684,[BYRBT].The.Angry.Birds.Movie.2.2019.720p.BluRay.x264-GECKOS.torrent,2,6,19天22时,3.28GB,92,0,456,发布者匿名
