rank,seed_name,torrent_name,size,price,score
79,"[欧美][致命女人,女人杀人为哪般][Why.Women.Kill.S01.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01][MKV]",[BYRBT].Why.Women.Kill.S01.720p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.torrent,14.43GB,2,90.58159320546052
80,"[罗小黑战记][The.Legend.of.Hei.2019.WEB-DL.4K.H265.DDP5.1-PTerWEB][动作,动画,奇幻][华语]",[BYRBT].罗小黑战记.The.Legend.of.Hei.2019.WEB-DL.4K.H265.DDP5.1-PTerWEB.mp4.torrent,4.20GB,2,96.00931846188224
81,[连载][玄机科技][斗罗大陆][Douro Mainland][74][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E74.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,540.50MB,2,95.03416703200296
82,[2019-10-18][大陆][演员请就位][Actors.Being.In.Position.2019.E02.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,1.40GB,2,94.98261572772006
83,"[期刊书籍][贫穷的本质][Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty][EPUB,P..",[BYRBT].贫穷的本质中英文版.torrent,33.61MB,2,92.67962471159811
84,"[全职高手之巅峰荣耀][The.King's.Avatar.For.the.Glory.2019.WEB-DL.1080p.H265.AAC-DanNi][剧情,动画][中国大陆]",[BYRBT].The.King's.Avatar.For.the.Glory.2019.WEB-DL.1080p.H265.AAC-DanNi.mp4.torrent,2.98GB,2,95.72662260996329
85,[大陆][天龙八部][Heaven.Dragon.the.Eighth.Episode.2003.1080p.WEB-DL.DD2.0.H264-NOGRP][全40集][MKV],[BYRBT].Heaven.Dragon.the.Eighth.Episode.2003.1080p.WEB-DL.DD2.0.H264-NOGRP.torrent,121.74GB,3,96.24635879451058
86,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][87][1080p][WEB][MP4][2016-03-10][国产],[BYRBT].Tian.Xing.Jiu.Ge.E87.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,439.32MB,2,95.11927986531627
87,"[欧美][致命女人,女人杀人为哪般][Why.Women.Kill.S01.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01][MKV]",[BYRBT].Why.Women.Kill.S01.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.torrent,29.62GB,4,88.70268337326725
88,[大陆][光荣时代][The.Glorious.Era.2019.E01-E18.WEB-DL.1080p.H265.AAC-DanNi][E01-E18][MP4],[BYRBT].The.Glorious.Era.2019.Complete.WEB-DL.1080p.H265.AAC-DanNi.torrent,26.08GB,2,93.91069776055144
89,[期刊书籍][图灵社区程序设计丛书合集][PDF],[BYRBT].图灵程序设计丛书.torrent,3.32GB,5,93.89352117719956
90,"[罗小黑战记][The.Legend.of.Hei.2019.1080p.WEB-DL.H264.AAC-NM][动作,动画,奇幻][华语]",[BYRBT].The.Legend.of.Hei.2019.1080p.WEB-DL.H264.AAC-NM.mp4.torrent,3.64GB,2,100.0
91,[欧美][柏林亚历山大广场][Berlin.Alexanderplatz.(1980).720p.BluRay.AAC1.0.x264-DON][全14集][MKV],[BYRBT].Berlin.Alexanderplatz.(1980).720p.BluRay.AAC1.0.x264-DON.torrent,83.02GB,1,96.20741638358167
92,"[我的父亲，我的儿子][Babam.ve.Oglum.2005.1080p.AMZN.WEB-DL.DDP5.1.H.264-KAIZEN][剧情,家庭][土耳其]",[BYRBT].Babam.ve.Oglum.2005.1080p.AMZN.WEB-DL.DDP5.1.H.264-KAIZEN.mkv.torrent,8.47GB,4,94.99985426913365
93,"[雁南飞,鹤之舞,仙鹤飞翔][The.Cranes.Are.Flying.1957.720p.BluRay.AAC1.0.x264-Dariush][剧情,爱情,战争][苏联]",[BYRBT].The.Cranes.Are.Flying.1957.720p.BluRay.AAC1.0.x264-Dariush.mkv.torrent,10.08GB,2,95.01612961987784
94,"[欧美][切尔诺贝利,调查切尔诺贝利][Chernobyl.2019.720p.BluRay.DD5.1.x264-DON][S01][MKV]",[BYRBT].Chernobyl.2019.720p.BluRay.DD5.1.x264-DON.torrent,17.59GB,1,96.21790017966639
95,[PC][Untitled Goose Game][无题大鹅模拟器][其他][House House][官方简体][压缩包],[BYRBT].UntitledGooseGame_chs.rar.torrent,296.11MB,2,95.29899131086759
96,[欧美][球手们][Ballers.S05.720p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S05][MKV],[BYRBT].Ballers.S05.720p.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,8.02GB,2,93.74072834522843
97,[2019-10-11][大陆][演员请就位][Actors.Being.In.Position.2019.E01.1080p.WEB-DL.H264.AAC-TJUPT][国语][无需..,[BYRBT].Actors.Being.In.Position.2019.Complete.1080p.WEB-DL.H264.AAC-TJUPT.torrent,2.12GB,2,94.8753478518272
98,[连载][玄机科技][斗罗大陆][Douro Mainland][73][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E73.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,539.15MB,2,94.94682041355411
99,[连载][玄机科技][斗罗大陆][Douro Mainland][73][1080p][WEB][MP4][2018.01][国产],[BYRBT].Douro.Mainland.E73.1080p.WEB-DL.H264.AAC-XJCTV.mp4.torrent,471.44MB,2,94.49795862070526
100,[合集][NHK][实境之旅][Virtual Trip][全11集][1080i][Blu-ray][M2TS][Anonymous][自然],[BYRBT].Virtual Trip.torrent,222.48GB,3,97.53819484529495
